,Tweets
0,"['RT', 'ulysse', 'petit', 'I', 've', 'been', 'working', 'on', 'a', 'Binance', 'script', 'in', 'the', 'past', 'few', 'weeks', 'to', 'execute', 'a', 'buy', 'order', 'Limit', 'or', 'Market', 'followed', 'by', 'an', 'autom']"
1,"['BTC', '0', '04', '9645', 'Top', 'last', 'h', 'THX', '1', '91', '76278st', 'KNC', '1', '87', '5824st', 'CENNZ', '1', '67', '1003st', 'FLG', '1', '51', '491776st', 'Worst', 'last', 'h', 'OKB', '2', '06', '60046st', 'HBAR', '1', '27', '481st', 'THETA', '0', '94', '1332st', 'cryptocurrency', 'blockchain']"
2,"['BTC', '0', '12', '9640', 'Top', 'last', 'h', 'KNC', '3', '82', '5784st', 'CENNZ', '2', '04', '1007st', 'LSK', '1', '30', '14582st', 'CKB', '1', '16', '77st', 'Worst', 'last', 'h', 'BTS', '1', '66', '317st', 'OKB', '1', '04', '60707st', 'GTN', '0', '97', '4065st', 'cryptocurrency', 'blockchain']"
3,"['BTC', '0', '18', '9641', 'Top', 'last', 'h', 'KNC', '2', '69', '5728st', 'PZM', '1', '80', '2433st', 'GTN', '1', '80', '4131st', 'OKB', '1', '68', '61483st', 'Worst', 'last', 'h', 'XIN', '1', '80', '2679100st', 'MOF', '1', '21', '11099st', 'DX', '1', '05', '21st', 'cryptocurrency', 'blockchain']"
4,"['BTC', '0', '18', '9617', 'Top', 'last', 'h', 'ATOM', '3', '53', '52285st', 'PZM', '1', '92', '2434st', 'GTN', '1', '80', '4154st', 'FLG', '1', '78', '492527st', 'Worst', 'last', 'h', 'KNC', '3', '06', '5509st', 'ALGO', '2', '99', '4556st', 'XIN', '2', '38', '2676633st', 'cryptocurrency', 'blockchain']"
5,"['BTC', '0', '18', '9620', 'Top', 'last', 'h', 'ATOM', '3', '06', '51744st', 'MOF', '1', '70', '11331st', 'FLG', '1', '20', '492028st', 'XIN', '1', '08', '2745774st', 'Worst', 'last', 'h', 'OKB', '4', '90', '60116st', 'KNC', '4', '02', '5603st', 'BTS', '2', '70', '317st', 'cryptocurrency', 'blockchain']"
6,"['BTC', '0', '08', '9636', 'Top', 'last', 'h', 'DX', '2', '96', '21st', 'SXP', '1', '87', '12348st', 'XEM', '1', '62', '632st', 'XIN', '1', '57', '2748117st', 'Worst', 'last', 'h', 'KNC', '3', '84', '5668st', 'OKB', '3', '72', '62749st', 'BTS', '1', '86', '318st', 'cryptocurrency', 'blockchain']"
7,"['BTC', '0', '18', '9631', 'Top', 'last', 'h', 'DX', '5', '56', '21st', 'XEM', '2', '46', '633st', 'THETA', '0', '82', '1345st', 'HEDG', '0', '73', '28606st', 'Worst', 'last', 'h', 'OKB', '3', '88', '62767st', 'BTS', '2', '32', '318st', 'XTZ', '1', '94', '35206st', 'cryptocurrency', 'blockchain']"
8,"['BTC', '0', '13', '9642', 'Top', 'last', 'h', 'MONA', '2', '08', '20248st', 'HBAR', '2', '02', '504st', 'STEEM', '1', '85', '2250st', 'MOF', '1', '75', '11234st', 'Worst', 'last', 'h', 'SXP', '2', '41', '12065st', 'FLG', '2', '07', '480786st', 'ALGO', '2', '02', '4618st', 'cryptocurrency', 'blockchain']"
9,"['BTC', '0', '03', '9643', 'Top', 'last', 'h', 'MOF', '3', '06', '11268st', 'LUNA', '2', '42', '2677st', 'MONA', '2', '24', '20200st', 'KCS', '1', '40', '13049st', 'Worst', 'last', 'h', 'FLG', '1', '63', '481109st', 'ALGO', '1', '38', '4702st', 'KNC', '1', '37', '5924st', 'cryptocurrency', 'blockchain']"
