,Tweets,Subjectivity,Polarity,Analysis
0,"If they were a cryptocurrency, which one would they be? 🤨 ",0.0,0.0,Neutral
1,"BabyDoge up by 13% today; another all-time high in the making? 🤔

",0.5399999999999999,0.16,Positive
2,"On this day one year ago, Ethereum was $1,367",0.0,0.0,Neutral
3,"SHIB, is that you? 👀 ",0.0,0.0,Neutral
4,"JUST IN: $LOOKS has crossed a $900M market cap and has hit a new all time high of $6.2

 is now ranked the 115th biggest cryptocurrency in the world by market value.",0.4972727272727272,0.1481818181818182,Positive
5, Gm ❤️,0.0,0.0,Neutral
6,"“Crypto is something we pay a lot of attention to”

- Google's president of commerce",0.0,0.0,Neutral
7,"JUST IN: Google executive says they are considering allowing users to store crypto in digital cards. 

Google x Crypto 🤝",0.0,0.0,Neutral
8,Shill us an NFT we should add to our collection! 🧐,0.0,0.0,Neutral
9,"444 Bitcoin allegedly stolen during recent crypto exchange hack 
",0.175,-0.05,Negative
0,": Who will list BABYDOGE first? 🤔

    👇                     👇                     👇
         ",0.3333333333333333,0.25,Positive
1,": BinanceSmartChain is trending 👀

What are you people up to? 🤔 ",0.0,0.0,Neutral
2,"🚀🚀We invite everyone to suggest your favorite CEX for upcoming listing team Kikswap appreciate your time and feedback. 🦊🦊

Comment below 👇👇

Kikswap BSCS BNB BinanceSmartChain   memecoins ShibaInuCoin Dogecoinarmy FLOKI DogecoinToTheMoon",1.0,0.5,Positive
3,"Kikswap on coinbase 🚀💪🚀💪





Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon",0.0,0.0,Neutral
4,"Check it out kikswap on nomics!



Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon",0.0,0.0,Neutral
5,"Kikswap listed on  price chart!



Stak here:  and enjoy impressive reward!!

Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon",0.75,0.7,Positive
6,"Kikswap is listed on CoinmarketCap!

Don't forget to vote on CMC


Stak here:  and enjoy impressive reward!!

Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon ",0.75,0.7,Positive
7,"Kikswap is listed on coingecko!

Don't forget to vote


Stak here: 

Kikswap BSC BNB BinanceSmartChain   memecoins shibainu Dogecoinarmy FLOKI DogecoinToTheMoon ",0.0,0.0,Neutral
8,": 🆕 New CoinGecko Listing: $KIK 
",0.45454545454545453,0.13636363636363635,Positive
9,": 🆕 New CoinMarketCap Listing: $KIK 
📋 Contract: BSC, BNB
",0.45454545454545453,0.13636363636363635,Positive
0,SHIB Will be the Biggest Millionaire Club!💯🚀🚀,0.0,0.0,Neutral
1, 🗣️WOOF!!,0.0,0.0,Neutral
2,"$SHIB TO ROBINHOOD, PLEASE!👺",0.0,0.0,Neutral
3, GM 💗,0.0,0.0,Neutral
4,$SHIB will hit a new all time high at some point this year 💗😊,0.4972727272727272,0.1481818181818182,Positive
5,"$BIG -  Just Launched on PCS 🥞 Sitting at just 800K MC 💰

Liquidity is locked and there are many callers on board 🔥

CHART:

TG:
NFA 

合约0x222E0eaed3e3E91039E199E28b7F70801AFa2bc7 ",0.3,0.25,Positive
6,Good Morning 💗,0.6000000000000001,0.7,Positive
7,"BabyShibaCoin | 

 Launched 2 days ago and are Listed on HotBit already! 👀🔥

Team is unstoppable and making moves!
Shiba Whales buying this !!

📈Chart: 


💬Telegram: 
  ",0.0,0.0,Neutral
8,"⚔️GlobalAntiScamCoin - If you are a victim of scam this is a project worth looking into. $GASC, fighting scammers in the crypto space. Project is developing an ecosystem to prevent scams and bring in people who committed it before the law.
🌐_COIN 
🗨️ ",0.07500000000000001,0.11249999999999999,Positive
9,"You will become a millionaire

🗣️WOOF!",0.0,0.0,Neutral
0,I´m giving $SHIB to the first 3500 people who follows and retweets!!,0.3333333333333333,0.390625,Positive
1,Drop your $SHIB address,0.0,0.0,Neutral
2,How are you holders? ☺️,0.0,0.0,Neutral
3,Drop your $SHIB address,0.0,0.0,Neutral
4,I´m giving $SHIB to the first 3000 people who follows and retweets!!,0.3333333333333333,0.390625,Positive
5,Drop your $SHIB address!,0.0,0.0,Neutral
6,I´m giving $SHIB to the first 4000 people who follows and retweets!,0.3333333333333333,0.3125,Positive
7,: Drop your $SHIB address!! 👀,0.0,0.0,Neutral
8,Drop your $SHIB address!! 👀,0.0,0.0,Neutral
9,How much $SHIB are you holding? 🤔,0.2,0.2,Positive
0, ,0.0,0.0,Neutral
1, ,0.0,0.0,Neutral
2,: Something is brewing... SHIBARMY     ,0.0,0.0,Neutral
3,"Community Update — We are happy to announce,  has reached out to our developer team and is in current discussions in regards to our most recent incident correlating to Wormhole contracts.

Please read our response.. ",0.5375,0.325,Positive
4,: ICYMI: This acquisition echoes our last move to bring aboard former Activision VP ._volk and hiring of .…,0.03333333333333333,0.0,Neutral
5,"At this time we ask the ShibArmy to act calm, and professional. 

Our team has already submitted inquiries for the 3 erroneous contracts, in regards to $SHIB at .

We are awaiting a response, and want nothing more than to come to a conclusion for the community.",0.4875,0.1,Positive
6,"Reminder: Shiba Inu $SHIB is an ERC-20 Token Only! Please stay alert out there ShibArmy. 

Thank you for your support, the Shiba Inu Breeds are currently working diligently to get this matter handled. ",0.7,0.0,Neutral
7,Official Statement regarding the recent actions by   . ,0.25,0.0,Neutral
8,"Hola!  welcome to the  ShibArmy. 

$SHIB continues to become more available globally. We're just getting started this 2022! 

By the way, we really like the artwork on this post! Woof! ",0.39999999999999997,0.4025,Positive
9,Woof! Loving the ShibArmy energy today. 🐶 ,0.95,0.6,Positive
0,": The amount of attention  receives is inversely proportional to the org’s usefulness.

(it’s useless)",0.2,-0.5,Negative
1," Someone bought a jpeg of a clip art rock for over a mil. Hence, a diamond is an easy sell in crypto…

",0.8333333333333334,0.43333333333333335,Positive
2,"If you watched Coin Bureau news yesterday, you would have seen me mention STX's potential if it was listed on a US exchange....

$STX 😉 ",1.0,0.0,Neutral
3,"Many people fixate on a crypto's price. Others look at partnerships &amp; marketing announcements. However, one of the most important metrics you can look at is developer activity. So, which are the most active? I take a look at the latest dev report!

",0.6666666666666666,0.3986111111111111,Positive
4,"I don't know why I seem to be getting the brunt of the spam. But until it improves, I will have to keep the replies restricted. In the meantime, follow me on my other accounts 👇👇

TikTok:  
IG: 
Telegram: ",0.375,-0.125,Negative
5, The weather ain’t that bad either 🇵🇹🇵🇹,0.6666666666666666,-0.6999999999999998,Negative
